Mes,Dia,Hora,Gt(i)_mean,Gt(i)_std,T2m_mean,T2m_std
1,1,0,0.0,0.0,20.4,1.29
1,1,1,0.0,0.0,20.15,1.17
1,1,2,0.0,0.0,19.98,1.08
1,1,3,0.0,0.0,19.81,1.02
1,1,4,0.0,0.0,19.69,0.94
1,1,5,0.0,0.0,19.63,0.86
1,1,6,60.21,24.87,19.76,0.89
1,1,7,185.75,88.12,20.95,1.55
1,1,8,361.35,148.6,22.25,1.97
1,1,9,542.31,185.17,23.39,2.27
1,1,10,654.66,255.22,24.42,2.6
1,1,11,702.42,293.83,25.22,2.94
1,1,12,820.94,285.5,25.56,3.11
1,1,13,791.17,319.24,25.97,3.13
1,1,14,652.09,316.12,26.0,3.2
1,1,15,437.63,299.62,25.42,3.02
1,1,16,254.7,220.48,25.12,3.05
1,1,17,103.25,119.01,24.44,2.83
1,1,18,32.83,49.58,23.72,2.59
1,1,19,0.0,0.0,22.83,2.37
1,1,20,0.0,0.0,22.04,2.09
1,1,21,0.0,0.0,21.5,1.64
1,1,22,0.0,0.0,21.03,1.47
1,1,23,0.0,0.0,20.67,1.37
1,2,0,0.0,0.0,20.47,1.58
1,2,1,0.0,0.0,20.21,1.48
1,2,2,0.0,0.0,20.06,1.5
1,2,3,0.0,0.0,19.9,1.49
1,2,4,0.0,0.0,19.62,1.41
1,2,5,0.0,0.0,19.44,1.48
1,2,6,39.04,28.66,19.45,1.46
1,2,7,155.98,84.22,20.51,1.6
1,2,8,281.0,164.27,21.62,1.81
1,2,9,423.26,186.15,22.87,2.17
1,2,10,515.21,262.44,23.82,2.37
1,2,11,634.18,216.44,24.61,2.57
1,2,12,667.44,288.0,25.2,2.7
1,2,13,717.02,261.61,25.58,2.94
1,2,14,592.5,325.25,25.45,3.14
1,2,15,406.69,281.51,25.19,3.04
1,2,16,314.98,249.19,24.93,3.1
1,2,17,117.89,126.4,24.15,3.15
1,2,18,40.0,45.81,23.15,2.71
1,2,19,0.0,0.0,22.07,2.35
1,2,20,0.0,0.0,21.37,2.1
1,2,21,0.0,0.0,21.5,1.94
1,2,22,0.0,0.0,21.08,1.79
1,2,23,0.0,0.0,20.76,1.7
1,3,0,0.0,0.0,20.1,1.62
1,3,1,0.0,0.0,19.91,1.55
1,3,2,0.0,0.0,19.75,1.58
1,3,3,0.0,0.0,19.65,1.56
1,3,4,0.0,0.0,19.54,1.58
1,3,5,0.0,0.0,19.42,1.62
1,3,6,52.21,26.33,19.43,1.67
1,3,7,167.57,88.01,20.49,2.09
1,3,8,323.81,171.71,21.72,2.4
1,3,9,470.48,203.47,22.88,2.63
1,3,10,577.62,300.55,24.02,2.85
1,3,11,663.65,313.73,24.88,2.98
1,3,12,714.5,327.38,25.41,3.19
1,3,13,689.4,274.75,25.66,3.33
1,3,14,671.25,300.94,25.31,3.35
1,3,15,505.9,252.92,24.58,2.78
1,3,16,213.01,192.53,24.12,2.87
1,3,17,117.98,116.43,23.67,2.9
1,3,18,26.66,29.78,22.95,2.6
1,3,19,0.0,0.0,22.1,2.33
1,3,20,0.0,0.0,21.41,2.1
1,3,21,0.0,0.0,20.95,1.98
1,3,22,0.0,0.0,20.63,1.82
1,3,23,0.0,0.0,20.32,1.7
1,4,0,0.0,0.0,19.94,1.63
1,4,1,0.0,0.0,19.68,1.52
1,4,2,0.0,0.0,19.52,1.5
1,4,3,0.0,0.0,19.47,1.43
1,4,4,0.0,0.0,19.15,1.29
1,4,5,0.0,0.0,19.04,1.33
1,4,6,47.87,26.78,19.01,1.44
1,4,7,178.18,88.04,19.99,1.82
1,4,8,283.57,145.88,21.25,2.01
1,4,9,454.16,213.63,22.42,2.19
