Pen_PV,Pen_BESS,Pen_EV,B_Vmin,B_Vmax,B_VminVmax,Max_PLosses,Min_PLosses,Energy_Losses,Min_Fluxo_Subestacao,Trafo_Loading_pct
0,0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689
0,0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689
0,0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689
0,0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689
0,0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689
0,0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689
0,0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689
0,0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689
0,0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689
0,0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689
10,0,2.5,0,0,0,1027.0435,105.2112,12378.6548,9978.9296,52.3143
10,0,2.5,0,0,0,972.2326,97.8169,11283.9822,9551.4424,50.3215
10,0,2.5,0,0,0,1097.877,114.8194,12374.658,10348.0223,54.4366
10,0,2.5,2,0,2,1242.4876,103.3041,15763.3666,9689.0093,54.4322
10,0,2.5,0,0,0,1089.8297,100.1222,12426.8262,9685.7697,54.223
10,0,2.5,0,0,0,970.6103,97.0315,12265.6458,9682.6617,54.0243
10,0,2.5,0,0,0,1037.6699,102.8079,11933.0407,9784.484,52.282
10,0,2.5,0,0,0,971.739,98.1878,11827.0056,9551.8107,51.5659
10,0,2.5,0,0,0,997.9385,101.8999,12246.2135,9765.5539,51.3147
10,0,2.5,0,1,1,970.2688,97.461,11973.2221,9521.0858,50.2682
20,0,5.0,0,5,5,1139.283,115.6436,10956.4838,10396.847,55.4587
20,0,5.0,2,0,2,1351.4536,105.5382,12984.4898,9763.1761,56.6557
20,0,5.0,1,3,4,1049.206,102.9849,12993.7229,9682.6194,52.4014
20,0,5.0,0,0,0,1042.269,101.8326,10877.2973,9891.5026,53.3417
20,0,5.0,0,5,5,1077.2975,111.1386,11335.8044,10404.438,54.5025
20,0,5.0,0,0,0,1131.8193,105.4005,12046.4428,9979.1125,56.2495
20,0,5.0,0,2,2,1240.2784,122.3185,11487.5416,10451.6569,56.5803
20,0,5.0,0,1,1,1002.2271,99.5363,11119.2896,9661.1656,51.422
20,0,5.0,0,1,1,1026.3918,103.4091,10599.5246,9857.0947,53.2399
20,0,5.0,0,3,3,973.648,98.0174,10377.1264,9773.6485,54.1798
30,0,7.5,0,4,4,1243.7303,111.3648,11943.7453,4113.6823,55.3836
30,0,7.5,0,3,3,1125.415,108.7448,10363.5523,3771.4648,58.3985
30,0,7.5,0,8,8,1164.1428,107.1631,11921.5448,6808.8294,55.0003
30,0,7.5,2,5,5,1282.9615,136.1703,10975.2039,8355.6122,54.8684
30,0,7.5,1,8,8,1318.372,130.3136,11259.2314,8678.1505,58.7646
30,0,7.5,2,2,4,1370.7491,132.8717,12029.9841,6223.3389,58.5741
30,0,7.5,0,1,1,1001.8869,98.8734,9611.5614,6532.0469,56.284
30,0,7.5,0,7,7,1273.7677,107.1182,13701.79,5824.5752,58.445
30,0,7.5,1,7,7,1212.2726,114.5984,10971.0639,5902.5297,55.7529
30,0,7.5,1,3,4,1109.8451,112.8472,11357.3241,3815.192,54.5038
40,0,10.0,0,7,7,1222.734,121.6882,10604.6659,1274.406,58.7612
40,0,10.0,2,8,10,1238.9762,104.1474,10922.1931,270.7531,55.7598
40,0,10.0,0,8,8,1115.4536,102.2989,9579.4835,1027.1204,54.6667
40,0,10.0,1,11,11,1369.2205,121.082,12065.3969,1718.3554,59.687
40,0,10.0,2,10,10,1607.7254,138.7845,15235.3032,1531.5519,60.8953
40,0,10.0,0,6,6,1082.8225,112.2957,9858.6316,2177.5086,54.7125
40,0,10.0,2,11,11,1471.1761,117.7933,13221.0443,772.3802,56.6242
40,0,10.0,2,10,10,1442.9404,107.1047,10998.3986,286.1837,60.9421
40,0,10.0,1,6,7,1685.6419,129.4821,12529.0869,2865.9149,62.072
40,0,10.0,1,9,9,1208.0491,104.3122,10763.2654,1543.2113,55.6089
50,0,12.5,0,8,8,1280.364,110.1904,10385.3826,1362.6972,57.7525
50,0,12.5,1,11,11,1375.0477,109.7176,12938.842,2075.5871,61.5796
50,0,12.5,2,13,13,1521.5302,116.5804,14303.6979,327.818,61.6576
50,0,12.5,0,12,12,1432.8004,125.3685,13539.366,304.5725,63.5894
50,0,12.5,0,14,14,1357.4387,96.3676,11437.5502,478.9451,60.8963
50,0,12.5,3,15,15,1842.9571,127.0016,14416.5393,759.8508,60.8032
50,0,12.5,2,10,10,1632.4481,108.4384,13643.6124,607.5731,61.4608
50,0,12.5,1,10,10,1278.2452,118.7293,11358.7981,2714.4478,56.8411
50,0,12.5,1,11,11,1335.5355,134.0632,12210.8509,1230.9743,58.0406
50,0,12.5,2,10,12,1774.0984,127.2677,12866.3816,67.4233,62.5682
60,0,15.0,3,17,17,1918.9166,93.6779,15089.3282,622.2581,63.3287
60,0,15.0,0,12,12,1459.7574,133.961,15708.1007,2763.0713,63.9868
60,0,15.0,2,9,11,1453.602,126.6782,13570.5973,923.9842,60.0169
60,0,15.0,2,13,13,1640.0718,131.1646,14189.8854,987.4322,59.7606
60,0,15.0,0,12,12,1166.5381,117.8111,9789.793,2577.0557,56.0059
60,0,15.0,0,14,14,1167.1449,105.1072,12931.2434,67.1348,56.7101
60,0,15.0,2,12,12,1538.6929,140.2422,13240.3827,2356.0593,60.8785
60,0,15.0,2,10,10,1942.1606,114.5121,18745.328,1557.58,63.5095
60,0,15.0,0,12,12,1472.9982,122.6772,12559.9687,1910.3461,62.9518
60,0,15.0,1,16,16,1400.4275,130.4773,12669.8259,2151.8824,65.7975
70,0,17.5,2,11,11,1559.5232,127.3303,16834.4666,1276.1213,64.8667
70,0,17.5,1,11,11,1664.4807,135.8236,15870.356,900.7554,67.0858
70,0,17.5,2,15,15,1726.7316,123.1108,14448.4727,1498.9878,64.9542
70,0,17.5,1,14,14,1623.467,136.0195,14723.9309,2033.2581,65.1261
70,0,17.5,3,15,15,1913.9269,149.9683,15566.4766,3887.8219,62.1165
70,0,17.5,2,15,15,1803.8419,152.0631,14991.3676,146.7781,66.3538
70,0,17.5,0,17,17,1692.0192,121.7578,12467.092,2395.1296,65.4802
70,0,17.5,3,16,16,1921.5733,122.6608,19471.7179,809.992,66.3345
70,0,17.5,2,14,14,2371.0468,137.2228,20083.8069,618.7224,61.3108
70,0,17.5,3,16,16,1717.8801,69.5094,11945.3368,1310.0947,64.8488
80,0,20.0,3,15,15,1986.8929,125.6859,17292.5958,1764.2446,65.697
80,0,20.0,1,14,14,1506.1611,117.8126,13982.1931,3392.3885,66.6517
80,0,20.0,3,15,15,2252.9044,185.9974,22837.9009,4498.5289,67.4817
80,0,20.0,2,17,17,1728.234,139.9625,17502.452,6826.1597,66.0599
80,0,20.0,2,17,17,1502.5962,64.1712,11519.7065,3732.498,63.8602
80,0,20.0,4,17,17,2292.1643,143.7956,19992.0533,6382.9431,71.3886
80,0,20.0,3,15,15,1865.2106,123.4564,14666.7483,7138.9712,62.5993
80,0,20.0,0,17,17,1719.7371,136.4121,18154.1132,4884.4347,67.1303
80,0,20.0,2,15,15,1768.6855,136.2907,15899.1686,2151.6458,65.1071
80,0,20.0,3,13,13,1783.1687,130.0716,18018.972,4018.4304,64.581
90,0,22.5,2,17,17,3080.7762,165.8077,24375.8117,3764.3883,72.2856
90,0,22.5,2,15,15,1535.0775,109.1976,15098.5614,472.7506,65.4677
90,0,22.5,1,13,13,1714.3917,138.2255,17065.7531,2097.0902,62.1465
90,0,22.5,2,16,16,1681.8635,132.4911,16424.8716,4649.3572,65.1595
90,0,22.5,3,15,15,2101.4962,153.4211,19522.8615,7611.1125,68.7994
90,0,22.5,2,13,13,1568.3221,122.0321,15770.6116,3752.3241,68.8995
90,0,22.5,4,17,17,2608.9624,110.2722,21245.2944,2544.4085,71.9615
90,0,22.5,3,17,17,1754.5736,46.3751,16386.3,1132.1977,69.7668
90,0,22.5,2,17,17,2039.382,65.0157,15896.2618,22.1922,69.9768
90,0,22.5,2,17,17,2015.22,126.1342,18661.4442,2493.6489,71.1626
100,0,25.0,2,17,17,2981.3885,177.8146,25252.5562,3564.7676,80.3581
