Pen_PV,Pen_BESS,Pen_EV,B_Vmin,B_Vmax,B_VminVmax,Max_PLosses,Min_PLosses,Energy_Losses,Min_Fluxo_Subestacao,Trafo_Loading_pct,Vmin_24h,Vmax_24h,Sev_Vmin_pct,Sev_Vmax_pct,Sev_VminVmax_pct,Seed
0,0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,0.9622,1.0489,0.0,0.0,0.0,101
0,0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,0.9622,1.0489,0.0,0.0,0.0,102
0,0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,0.9622,1.0489,0.0,0.0,0.0,103
0,0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,0.9622,1.0489,0.0,0.0,0.0,104
0,0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,0.9622,1.0489,0.0,0.0,0.0,105
0,0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,0.9622,1.0489,0.0,0.0,0.0,106
0,0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,0.9622,1.0489,0.0,0.0,0.0,107
0,0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,0.9622,1.0489,0.0,0.0,0.0,108
0,0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,0.9622,1.0489,0.0,0.0,0.0,109
0,0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,0.9622,1.0489,0.0,0.0,0.0,110
10,0,0,0,0,0,969.0191,97.0196,12133.1338,9490.6441,50.2162,0.9622,1.0489,0.0,0.0,0.0,111
10,0,0,0,0,0,969.0191,97.0196,11527.7694,9490.6441,50.2162,0.9622,1.0489,0.0,0.0,0.0,112
10,0,0,0,0,0,969.0191,97.0196,11517.9693,9490.6441,50.2162,0.9622,1.0489,0.0,0.0,0.0,113
10,0,0,0,0,0,969.0191,97.0196,11726.3278,9490.6441,50.2162,0.9622,1.0489,0.0,0.0,0.0,114
10,0,0,0,0,0,969.0191,97.0196,12053.823,9490.6441,50.2162,0.9622,1.0489,0.0,0.0,0.0,115
10,0,0,0,0,0,969.0191,97.0196,11133.1591,9490.6441,50.2162,0.9622,1.0489,0.0,0.0,0.0,116
10,0,0,0,0,0,969.0191,97.0196,12514.1254,9490.6441,50.2162,0.9622,1.0489,0.0,0.0,0.0,117
10,0,0,0,0,0,969.0191,97.0196,11715.3763,9490.6441,50.2162,0.9622,1.0489,0.0,0.0,0.0,118
10,0,0,0,1,1,969.0191,97.0196,12123.6525,9490.6441,50.2162,0.9622,1.0508,0.0,0.2451,0.2451,119
10,0,0,0,2,2,969.0191,97.0196,12466.4,9490.6441,50.2162,0.9622,1.0609,0.0,2.451,2.451,120
20,0,0,0,3,3,969.0191,97.0196,10381.4922,9490.6441,50.2162,0.9622,1.0654,0.0,2.6961,2.6961,121
20,0,0,0,0,0,969.0191,97.0196,9733.7179,9490.6441,50.2162,0.9622,1.0489,0.0,0.0,0.0,122
20,0,0,0,6,6,969.0191,97.0196,10448.2124,9490.6441,50.2162,0.9622,1.0763,0.0,6.3725,6.3725,123
20,0,0,0,5,5,969.0191,97.0196,9770.5874,9490.6441,50.2162,0.9622,1.0581,0.0,3.6765,3.6765,124
20,0,0,0,3,3,969.0191,97.0196,10007.5175,9490.6441,50.2162,0.9622,1.0654,0.0,3.1863,3.1863,125
20,0,0,0,4,4,969.0191,97.0196,9574.1697,9490.6441,50.2162,0.9622,1.0629,0.0,2.9412,2.9412,126
20,0,0,0,1,1,969.0191,97.0196,10155.0003,9490.6441,50.2162,0.9622,1.0562,0.0,0.4902,0.4902,127
20,0,0,0,3,3,969.0191,97.0196,9837.0714,9490.6441,50.2162,0.9622,1.0532,0.0,1.7157,1.7157,128
20,0,0,0,8,8,969.0191,97.0196,10686.5736,9490.6441,50.2162,0.9622,1.0602,0.0,4.902,4.902,129
20,0,0,0,2,2,969.0191,97.0196,9605.6544,9490.6441,50.2162,0.9622,1.0527,0.0,0.9804,0.9804,130
30,0,0,0,8,8,969.0191,97.0196,9506.1356,5992.7619,50.2162,0.9622,1.069,0.0,8.0882,8.0882,131
30,0,0,0,8,8,969.0191,97.0196,8589.9337,7378.2766,50.2162,0.9622,1.0687,0.0,7.8431,7.8431,132
30,0,0,0,6,6,969.0191,97.0196,9190.6643,7326.0951,50.2162,0.9622,1.0797,0.0,8.0882,8.0882,133
30,0,0,0,10,10,969.0191,97.0196,9854.8883,5784.0273,50.2162,0.9622,1.0596,0.0,7.598,7.598,134
