Pen_PV,Pen_BESS,Pen_EV,B_Vmin,B_Vmax,B_VminVmax,Max_PLosses,Min_PLosses,Energy_Losses,Min_Fluxo_Subestacao,Trafo_Loading_pct,Seed
0,0.0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,26
0,0.0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,27
0,0.0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,28
0,0.0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,29
0,0.0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,30
0,0.0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,31
0,0.0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,32
0,0.0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,33
0,0.0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,34
0,0.0,0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,35
10,5.0,0,0,1,1,1136.1714,98.1358,11732.8568,9551.7602,55.1233,36
10,5.0,0,0,0,0,1213.396,99.1555,10354.5247,9555.7802,55.7099,37
10,5.0,0,0,0,0,1138.2569,98.5012,11206.9794,9552.1259,54.9843,38
10,5.0,0,0,1,1,1230.2753,98.0168,12949.2934,9554.6413,54.3249,39
10,5.0,0,0,0,0,912.9496,97.6496,11280.5509,9554.2741,55.4396,40
10,5.0,0,0,0,0,1104.2643,97.9193,12075.3754,9557.5443,55.9324,41
10,5.0,0,0,0,0,1146.3655,98.7284,11072.6164,9555.3525,55.6401,42
10,5.0,0,1,0,1,1243.8275,99.0356,11155.1903,9555.6597,55.0952,43
10,5.0,0,0,0,0,1173.4239,98.6119,11476.0129,9555.236,55.1786,44
10,5.0,0,0,2,2,1066.2828,98.2672,11205.2478,9545.8916,54.0003,45
20,10.0,0,0,5,5,945.8272,99.9533,9129.1447,9622.5777,53.6318,46
20,10.0,0,0,0,0,1046.4609,99.1156,9760.3174,9618.7404,52.9908,47
20,10.0,0,0,4,4,1204.5939,99.609,10568.8683,9622.2333,53.9908,48
20,10.0,0,0,2,2,919.9142,98.9173,9432.6095,9621.5422,53.9905,49
20,10.0,0,0,7,7,1046.8218,98.5559,10677.9432,9624.1803,54.8072,50
20,10.0,0,0,2,2,1160.0231,99.1719,10357.8299,9621.7966,53.5129,51
20,10.0,0,0,3,3,932.7457,98.5069,9664.2175,9624.132,53.4382,52
20,10.0,0,0,3,3,972.6868,98.6915,10175.2088,9624.3166,53.3289,53
20,10.0,0,2,5,7,1373.7571,100.4442,9991.6654,9626.0682,54.6417,54
20,10.0,0,2,5,5,1451.8815,102.025,10111.9283,9627.6486,53.5609,55
30,15.0,0,0,8,8,965.399,100.0709,9092.9168,2791.8106,53.0932,56
30,15.0,0,2,4,5,1156.8497,99.4301,8667.5293,3292.2448,52.2609,57
30,15.0,0,0,8,8,1024.9152,101.947,9860.5149,5824.5298,52.331,58
30,15.0,0,0,8,8,1025.7076,100.9079,7995.3733,6907.7599,52.2382,59
30,15.0,0,0,10,10,882.1605,100.5967,8293.5997,6750.6452,52.3487,60
30,15.0,0,0,4,4,975.3565,99.7684,8828.1688,5519.9401,53.0795,61
30,15.0,0,0,5,5,1038.8742,99.6194,9572.8778,5656.2523,51.5562,62
30,15.0,0,0,8,8,1099.2559,101.5584,10363.1638,4457.2112,53.8804,63
30,15.0,0,0,9,9,959.6822,101.2128,8195.4244,4661.1858,52.2395,64
30,15.0,0,0,3,3,1056.5426,100.0338,9853.1731,3187.3631,52.3954,65
40,20.0,0,0,12,12,1484.6185,103.5563,9882.4217,310.7103,53.6364,66
40,20.0,0,0,14,14,1107.883,91.4358,7785.8775,508.58,52.8816,67
40,20.0,0,0,12,12,1216.6571,86.1434,7241.941,384.153,51.6756,68
40,20.0,0,0,13,13,1061.5939,103.1262,8567.8321,2649.3574,53.7304,69
40,20.0,0,0,12,12,1062.2468,103.8249,10756.025,2354.1264,52.8985,70
40,20.0,0,0,6,6,950.0354,99.9336,8969.3159,914.1695,49.9159,71
